S.No.,Combination,Mean Absolute Error,Mean Squared Error
468,SJR+H-Index+Total Docs(2017)+Total Docs(3years)+Total Refs,4.6999202014770854e+17,2.2089249900252496e+35
469,SJR+H-Index+Total Docs(2017)+Total Docs(3years)+Total Refs+Ref/Doc,6.211714165544297e+17,3.85853928744235e+35
470,SJR+H-Index+Total Docs(2017)+Total Docs(3years)+Total Refs+Cites/Docs(2years),1.0572024193172536e+17,1.1176769554102552e+34
471,SJR+H-Index+Total Docs(2017)+Total Docs(3years)+Total Refs+Cites/Docs(2years)+Ref/Doc,21.055044645573258,443.48471964753094
472,SJR+H-Index+Total Docs(2017)+Total Docs(3years)+Total Refs+Citable Docs(3years),3444971449313536.5,1.186782828658541e+31
473,SJR+H-Index+Total Docs(2017)+Total Docs(3years)+Total Refs+Citable Docs(3years)+Ref/Doc,2.3221628917360768e+17,5.392440495756076e+34
474,SJR+H-Index+Total Docs(2017)+Total Docs(3years)+Total Refs+Citable Docs(3years)+Cites/Docs(2years),3.210684746844363e+18,1.030849654361908e+37
475,SJR+H-Index+Total Docs(2017)+Total Docs(3years)+Total Refs+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,4.109450577219098e+17,1.6887584046606477e+35
476,SJR+H-Index+Total Docs(2017)+Total Docs(3years)+Total Refs+Total Cites(3years),1.5800580734130045e+18,2.4965835153576257e+36
477,SJR+H-Index+Total Docs(2017)+Total Docs(3years)+Total Refs+Total Cites(3years)+Ref/Doc,4.277338440733894e+17,1.8295624136579724e+35
478,SJR+H-Index+Total Docs(2017)+Total Docs(3years)+Total Refs+Total Cites(3years)+Cites/Docs(2years),3.011776863975836e+17,9.070799878380157e+34
479,SJR+H-Index+Total Docs(2017)+Total Docs(3years)+Total Refs+Total Cites(3years)+Cites/Docs(2years)+Ref/Doc,9602930078012152.0,9.221626608319013e+31
480,SJR+H-Index+Total Docs(2017)+Total Docs(3years)+Total Refs+Total Cites(3years)+Citable Docs(3years),1.9506490947116528e+17,3.805031890699385e+34
481,SJR+H-Index+Total Docs(2017)+Total Docs(3years)+Total Refs+Total Cites(3years)+Citable Docs(3years)+Ref/Doc,4.34391492322179e+17,1.8869596860188982e+35
482,SJR+H-Index+Total Docs(2017)+Total Docs(3years)+Total Refs+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years),2.4228691750269153e+18,5.870295039295628e+36
483,SJR+H-Index+Total Docs(2017)+Total Docs(3years)+Total Refs+Total Cites(3years)+Citable Docs(3years)+Cites/Docs(2years)+Ref/Doc,1.2115768142578075e+17,1.4679183768471005e+34
